OBJECTID,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Total population, 2021","# Total population, 2021 (MOE)","# Area, square miles, 2021","Population density (people per square mile), 2021",Shape__Area,Shape__Length
1,Southwest Georgia,No,13099090500,2083,Tract,2020,"Census Tract 905, Early County",1690,281,133.18312,12.7,3709516253.66119,262058.192903192
2,Southwest Georgia,No,13099090400,2082,Tract,2020,"Census Tract 904, Early County",3848,422,78.514931,49,2186823104.54108,218767.674207706
3,Southwest Georgia,No,13099090200,2080,Tract,2020,"Census Tract 902, Early County",2828,462,115.94355,24.4,3229579780.09698,313756.221738288
4,Atlanta Regional Commission,Yes,13067031209,1648,Tract,2020,"Census Tract 312.09, Cobb County",4664,361,1.317773,3539.3,36719351.7084961,33043.6980351417
5,Atlanta Regional Commission,Yes,13067031207,1647,Tract,2020,"Census Tract 312.07, Cobb County",4964,695,1.091056,4549.7,30401975.1828613,23180.2573172638
6,Atlanta Regional Commission,Yes,13067030507,1611,Tract,2020,"Census Tract 305.07, Cobb County",6135,1480,2.385206,2572.1,66465450.8215332,33142.1275885508
7,Atlanta Regional Commission,Yes,13067030506,1610,Tract,2020,"Census Tract 305.06, Cobb County",4605,829,3.106593,1482.3,86567511.4006348,42843.6083641199
8,Atlanta Regional Commission,Yes,13057090101,1344,Tract,2020,"Census Tract 901.01, Cherokee County",4946,974,32.496239,152.2,905585079.889648,139076.671211981
9,Atlanta Regional Commission,Yes,13057090606,1362,Tract,2020,"Census Tract 906.06, Cherokee County",4712,550,5.828104,808.5,162410453.775879,51435.446865278
10,Atlanta Regional Commission,Yes,13057090605,1361,Tract,2020,"Census Tract 906.05, Cherokee County",3994,1209,2.669544,1496.1,74392122.7202148,61962.0458059287
11,Atlanta Regional Commission,Yes,13057090710,1370,Tract,2020,"Census Tract 907.10, Cherokee County",4052,897,3.660905,1106.8,102017176.208984,52431.441988721
12,Atlanta Regional Commission,Yes,13057090703,1363,Tract,2020,"Census Tract 907.03, Cherokee County",5071,944,3.288092,1542.2,91628084.6691895,62460.5812953841
13,Atlanta Regional Commission,Yes,13057090301,1349,Tract,2020,"Census Tract 903.01, Cherokee County",5191,1226,4.833421,1074,134693268.808105,59319.5431876772
14,Atlanta Regional Commission,Yes,13057091009,1388,Tract,2020,"Census Tract 910.09, Cherokee County",5905,595,2.214282,2666.8,61704275.1289063,51895.3203008919
15,Atlanta Regional Commission,Yes,13057090504,1355,Tract,2020,"Census Tract 905.04, Cherokee County",5277,1422,6.206795,850.2,172961891.75708,67406.4521546033
16,Atlanta Regional Commission,Yes,13057090202,1348,Tract,2020,"Census Tract 902.02, Cherokee County",6610,947,71.121666,92.9,1981981648.02661,237788.764713371
17,Atlanta Regional Commission,Yes,13057090705,1365,Tract,2020,"Census Tract 907.05, Cherokee County",2676,662,3.302944,810.2,92042590.9355469,48691.0031557704
18,Atlanta Regional Commission,Yes,13057090201,1347,Tract,2020,"Census Tract 902.01, Cherokee County",2225,463,14.405982,154.4,401459784.970947,90511.8595439117
19,Atlanta Regional Commission,Yes,13057090402,1353,Tract,2020,"Census Tract 904.02, Cherokee County",5159,749,15.881606,324.8,442574863.14624,151307.476749472
20,Atlanta Regional Commission,Yes,13057090808,1374,Tract,2020,"Census Tract 908.08, Cherokee County",6614,1395,5.806445,1139.1,161804757.858887,72253.9568367109
21,Atlanta Regional Commission,Yes,13057090911,1383,Tract,2020,"Census Tract 909.11, Cherokee County",5124,579,5.468755,937,152392721.125732,72601.7229997282
22,Atlanta Regional Commission,Yes,13057091011,1390,Tract,2020,"Census Tract 910.11, Cherokee County",4313,824,1.219915,3535.5,33994797.576416,34321.8512546448
23,Atlanta Regional Commission,Yes,13057090912,1384,Tract,2020,"Census Tract 909.12, Cherokee County",3827,704,3.308154,1156.8,92185700.5087891,62955.218134739
24,Atlanta Regional Commission,Yes,13057090805,1371,Tract,2020,"Census Tract 908.05, Cherokee County",4328,436,7.551911,573.1,210443106.43457,104990.767896979
25,Atlanta Regional Commission,Yes,13057090708,1368,Tract,2020,"Census Tract 907.08, Cherokee County",6268,1330,2.50839,2498.8,69900911.5209961,39815.2716702052
26,Atlanta Regional Commission,Yes,13057090303,1351,Tract,2020,"Census Tract 903.03, Cherokee County",6129,759,17.638561,347.5,491539268.646973,99684.4388440502
27,Atlanta Regional Commission,Yes,13057090807,1373,Tract,2020,"Census Tract 908.07, Cherokee County",7217,998,3.562462,2025.8,99273492.7478027,42948.808680046
28,Atlanta Regional Commission,Yes,13057090603,1359,Tract,2020,"Census Tract 906.03, Cherokee County",6141,993,8.935583,687.3,249005201.539307,73872.1570374242
29,Atlanta Regional Commission,Yes,13057090810,1376,Tract,2020,"Census Tract 908.10, Cherokee County",4327,624,7.637857,566.5,212839246.922119,62170.6854197313
30,Atlanta Regional Commission,Yes,13057090505,1356,Tract,2020,"Census Tract 905.05, Cherokee County",4716,643,9.559025,493.4,266377124.24707,73340.2766816878
31,Atlanta Regional Commission,Yes,13057090503,1354,Tract,2020,"Census Tract 905.03, Cherokee County",4206,641,15.644331,268.9,435878852.864502,90814.9979303332
32,Atlanta Regional Commission,Yes,13057090809,1375,Tract,2020,"Census Tract 908.09, Cherokee County",3981,383,9.737237,408.8,271339412.808105,87468.0213181263
33,Atlanta Regional Commission,Yes,13057090302,1350,Tract,2020,"Census Tract 903.02, Cherokee County",2583,546,23.966965,107.8,667894932.023926,163966.783909046
