STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
13,221,960204,13221960204,9602.04,Census Tract 9602.04,G5020,S,56805722,528917,+33.9813390,-083.2146320
13,221,960206,13221960206,9602.06,Census Tract 9602.06,G5020,S,126264475,808278,+33.8807034,-083.0448301
13,221,960205,13221960205,9602.05,Census Tract 9602.05,G5020,S,127060640,1390120,+33.9575357,-083.1351227
13,221,960203,13221960203,9602.03,Census Tract 9602.03,G5020,S,111205495,1238620,+33.8940049,-083.2040757
13,153,020900,13153020900,209,Census Tract 209,G5020,S,5106205,8782,+32.6089600,-083.6318937
13,295,020602,13295020602,206.02,Census Tract 206.02,G5020,S,78546431,353480,+34.7389128,-085.2161388
13,295,020902,13295020902,209.02,Census Tract 209.02,G5020,S,210943989,609948,+34.6522754,-085.1393945
13,295,020301,13295020301,203.01,Census Tract 203.01,G5020,S,24461654,0,+34.9603585,-085.3258475
13,295,020800,13295020800,208,Census Tract 208,G5020,S,333076553,232992,+34.6887832,-085.3864836
13,295,020601,13295020601,206.01,Census Tract 206.01,G5020,S,68898390,112397,+34.8134313,-085.2381570
13,295,020302,13295020302,203.02,Census Tract 203.02,G5020,S,24386196,0,+34.9250016,-085.3348371
13,295,020400,13295020400,204,Census Tract 204,G5020,S,67145952,20972,+34.8755088,-085.4066127
13,295,020200,13295020200,202,Census Tract 202,G5020,S,5477439,5613,+34.9720208,-085.2891023
13,251,970200,13251970200,9702,Census Tract 9702,G5020,S,529094757,8883887,+32.8990190,-081.5953409
13,251,970500,13251970500,9705,Census Tract 9705,G5020,S,331723589,4674901,+32.5961874,-081.5314258
13,251,970600,13251970600,9706,Census Tract 9706,G5020,S,273141358,4729740,+32.6687257,-081.7329238
13,251,970300,13251970300,9703,Census Tract 9703,G5020,S,185189763,2879871,+32.7649113,-081.7166735
13,055,010202,13055010202,102.02,Census Tract 102.02,G5020,S,47653550,59906,+34.5402417,-085.2789235
13,195,020502,13195020502,205.02,Census Tract 205.02,G5020,S,54270797,643742,+34.0720261,-083.2892251
13,121,011641,13121011641,116.41,Census Tract 116.41,G5020,S,8857614,250376,+34.0996099,-084.3083087
13,121,011654,13121011654,116.54,Census Tract 116.54,G5020,S,1712545,3318,+34.0754160,-084.3143145
13,121,011647,13121011647,116.47,Census Tract 116.47,G5020,S,8094481,34899,+34.0601602,-084.3172449
13,121,011643,13121011643,116.43,Census Tract 116.43,G5020,S,2553768,9196,+34.0964538,-084.2624178
13,121,011640,13121011640,116.40,Census Tract 116.40,G5020,S,3609609,14543,+34.0769205,-084.2789308
13,121,011434,13121011434,114.34,Census Tract 114.34,G5020,S,4050202,38487,+34.0285678,-084.3113684
13,121,011636,13121011636,116.36,Census Tract 116.36,G5020,S,1743146,0,+34.0724480,-084.2589740
13,121,011646,13121011646,116.46,Census Tract 116.46,G5020,S,5985308,40899,+34.0521393,-084.2914055
13,121,001206,13121001206,12.06,Census Tract 12.06,G5020,S,202711,0,+33.7795463,-084.3849538
13,015,960902,13015960902,9609.02,Census Tract 9609.02,G5020,S,36656197,172819,+34.1724938,-084.8702772
13,015,960802,13015960802,9608.02,Census Tract 9608.02,G5020,S,13851421,4258630,+34.1106699,-084.6975654
13,015,960801,13015960801,9608.01,Census Tract 9608.01,G5020,S,19439405,4684977,+34.1222127,-084.6749820
13,097,080602,13097080602,806.02,Census Tract 806.02,G5020,S,24268827,121335,+33.7207328,-084.6327881
13,289,060200,13289060200,602,Census Tract 602,G5020,S,486550184,6063099,+32.5951862,-083.4521910
13,111,050400,13111050400,504,Census Tract 504,G5020,S,114491903,5684242,+34.8629431,-084.3316568
13,111,050100,13111050100,501,Census Tract 501,G5020,S,114058585,229829,+34.9461829,-084.2324068
13,111,050500,13111050500,505,Census Tract 505,G5020,S,397004084,6806087,+34.7885625,-084.1949508
13,111,050200,13111050200,502,Census Tract 502,G5020,S,97900598,723780,+34.9495478,-084.3528536
13,111,050300,13111050300,503,Census Tract 503,G5020,S,279142351,29644,+34.9172580,-084.5177439
13,121,009103,13121009103,91.03,Census Tract 91.03,G5020,S,722375,0,+33.8039645,-084.3971840
